sin2(2theta_e4),dm2
0.088129631,100
0.088129631,9.846906916
0.087513121,8.907354639
0.086293008,7.812631133
0.086293008,7.067181274
0.088129631,6.343735379
0.085689346,5.694346444
0.088750484,4.805538307
0.085689346,4.18254417
0.083316632,3.754389819
0.089375712,3.475669925
0.098605795,3.267667479
0.108028062,3.144035472
0.115073576,2.978769174
0.106521929,2.822190104
0.095875428,2.736439997
0.085089907,2.653295342
0.074464833,2.513824811
0.069416612,2.418714397
0.069416612,2.309319842
0.074989421,2.221946861
0.085089907,2.137879631
0.097915999,2.088973825
0.111887221,2.088973825
0.12606942,2.07292178
0.144057736,2.088973825
0.168116274,2.088973825
0.197574871,2.15443469
0.225765999,2.221946861
0.2579796,2.273965752
0.278690363,2.456318941
0.252603303,2.592598965
0.228958145,2.694546993
0.206074564,2.778984325
0.188100627,2.844044245
0.180342282,3.001835814
0.200368418,3.242558143
0.222618358,3.396161033
0.245608788,3.584584817
0.26162722,3.872038782
0.249081495,4.247571553
0.245608788,4.805538307
0.252603303,5.521328044
0.250836218,6.198617062
0.250836218,6.852450329
0.252603303,7.873129659
0.249081495,8.703591361
0.252603303,9.547716114
0.252603303,100
