CV:    -1	42.83	38.23	
Univ:   0	42.84	36.55	4.7996	
Univ:   1	36.55	40.14	0.4793	
Univ:   2	40.14	40.12	1.7721	
Univ:   3	40.56	38.59	0.0265	
Univ:   4	40.12	31.80	2.0172	
Univ:   5	48.08	39.61	18.2290	
Univ:   6	38.59	39.00	6.0805	
Univ:   7	47.13	37.76	0.0146	
Univ:   8	44.02	49.41	0.0004	
Univ:   9	31.80	38.46	1.7594	
Univ:  10	39.61	39.99	0.0766	
Univ:  11	48.16	41.03	0.7419	
Univ:  12	39.00	46.29	0.0040	
Univ:  13	47.38	34.42	0.9884	
Univ:  14	37.76	34.78	3.7430	
Univ:  15	49.41	33.72	2.3940	
Univ:  16	38.46	39.09	0.0000	
Univ:  17	39.99	40.28	1.1059	
Univ:  18	41.03	39.28	0.5576	
Univ:  19	49.73	40.78	0.4062	
Univ:  20	46.29	38.49	8.8922	
Univ:  21	48.47	37.76	1.5933	
Univ:  22	39.40	39.81	2.6269	
Univ:  23	49.15	46.14	0.0001	
Univ:  24	55.19	36.38	1.4874	
Univ:  25	34.42	40.26	7.7481	
Univ:  26	39.75	37.10	17.6498	
Univ:  27	47.33	43.81	0.0009	
Univ:  28	34.78	42.17	4.5745	
Univ:  29	44.84	47.00	0.0003	
Univ:  30	33.72	39.80	0.0193	
Univ:  31	39.09	43.28	0.0494	
Univ:  32	42.81	41.58	0.3966	
Univ:  33	40.28	44.40	1.6450	
Univ:  34	39.28	40.33	0.0201	
Univ:  35	46.76	43.06	0.0087	
Univ:  36	43.97	44.55	0.0244	
Univ:  37	53.67	43.24	0.0577	
Univ:  38	39.89	45.84	0.0001	
Univ:  39	49.02	42.11	0.0473	
Univ:  40	40.78	35.03	0.5808	
Univ:  41	38.49	35.55	14.5763	
Univ:  42	46.41	38.42	26.9529	
Univ:  43	37.76	43.42	0.7016	
Univ:  44	39.81	32.55	2.7736	
Univ:  45	53.45	41.53	0.0235	
Univ:  46	46.14	40.77	0.0095	
Univ:  47	44.51	41.82	0.0129	
Univ:  48	36.38	46.04	0.0008	
Univ:  49	47.29	46.99	0.0030	
Univ:  50	40.26	35.42	0.6466	
Univ:  51	37.10	37.40	0.0040	
Univ:  52	41.37	37.24	11.4931	
Univ:  53	40.82	40.12	2.6397	
Univ:  54	43.81	36.83	0.0894	
Univ:  55	42.17	46.62	0.0015	
Univ:  56	47.00	38.46	5.7128	
Univ:  57	44.64	44.18	0.0052	
Univ:  58	43.47	41.90	0.0783	
Univ:  59	50.05	41.49	0.0194	
Univ:  60	45.47	39.21	4.3324	
Univ:  61	46.49	37.24	1.0557	
Univ:  62	48.41	41.83	0.0226	
Univ:  63	39.80	45.87	0.0181	
Univ:  64	43.28	36.09	3.9175	
Univ:  65	41.58	43.47	0.0000	
Univ:  66	44.40	40.98	0.3415	
Univ:  67	40.33	46.48	0.0084	
Univ:  68	43.06	32.81	0.1674	
Univ:  69	44.55	42.30	0.0586	
Univ:  70	45.16	38.78	1.6557	
Univ:  71	43.24	42.37	0.0107	
Univ:  72	48.60	42.00	1.4372	
Univ:  73	45.84	46.54	0.0084	
Univ:  74	41.24	42.95	0.1002	
Univ:  75	40.06	44.66	0.0041	
Univ:  76	44.39	41.34	0.0228	
Univ:  77	42.11	38.98	0.0001	
Univ:  78	35.03	39.41	0.0120	
Univ:  79	38.91	43.52	0.0490	
Univ:  80	35.55	37.98	0.0345	
Univ:  81	38.42	33.12	10.2078	
Univ:  82	43.42	41.70	0.0006	
Univ:  83	43.36	46.83	0.0006	
Univ:  84	32.55	36.73	0.5262	
Univ:  85	43.35	43.15	6.2670	
Univ:  86	47.67	45.50	0.0189	
Univ:  87	44.47	41.97	2.3601	
Univ:  88	41.53	47.75	0.0079	
Univ:  89	47.86	31.33	1.9393	
Univ:  90	49.72	43.74	0.1171	
Univ:  91	43.13	36.36	4.6141	
Univ:  92	40.77	46.49	0.0016	
Univ:  93	48.01	40.54	0.0003	
Univ:  94	47.49	38.07	8.0226	
Univ:  95	41.82	42.85	0.0009	
Univ:  96	46.04	39.09	0.0862	
Univ:  97	50.27	39.05	0.1362	
Univ:  98	43.75	39.60	5.0591	
Univ:  99	46.99	43.04	0.0254	
Univ: 100	35.42	38.31	0.0020	
Univ: 101	50.46	35.57	2.7334	
Univ: 102	44.48	36.69	0.1932	
Univ: 103	48.64	40.81	0.0646	
