CV:    -1	1314.88	1182.43	
Univ:   0	1314.01	1193.45	4.7996	
Univ:   1	1193.45	1181.93	0.4793	
Univ:   2	1181.91	1240.88	1.7721	
Univ:   3	1442.50	1275.17	0.0265	
Univ:   4	1240.88	1082.33	2.0172	
Univ:   5	1397.69	1176.79	18.2290	
Univ:   6	1275.18	1181.20	6.0805	
Univ:   7	1443.56	1306.16	0.0146	
Univ:   8	1329.64	1303.19	0.0004	
Univ:   9	1082.32	1257.68	1.7594	
Univ:  10	1176.79	1295.04	0.0766	
Univ:  11	1388.92	1266.38	0.7419	
Univ:  12	1181.14	1306.57	0.0040	
Univ:  13	1334.79	1092.17	0.9884	
Univ:  14	1306.16	1147.87	3.7430	
Univ:  15	1303.19	1125.55	2.3940	
Univ:  16	1257.68	1282.53	0.0000	
Univ:  17	1295.04	1272.97	1.1059	
Univ:  18	1266.38	1243.58	0.5576	
Univ:  19	1344.29	1219.34	0.4062	
Univ:  20	1306.57	1177.32	8.8922	
Univ:  21	1497.61	1234.04	1.5933	
Univ:  22	1346.20	1238.71	2.6269	
Univ:  23	1411.13	1327.85	0.0001	
Univ:  24	1479.86	1159.55	1.4874	
Univ:  25	1092.17	1189.00	7.7481	
Univ:  26	1366.69	1191.82	17.6498	
Univ:  27	1444.71	1291.26	0.0009	
Univ:  28	1147.87	1210.98	4.5745	
Univ:  29	1347.10	1294.44	0.0003	
Univ:  30	1125.55	1277.72	0.0193	
Univ:  31	1282.48	1266.59	0.0494	
Univ:  32	1429.19	1294.45	0.3966	
Univ:  33	1272.96	1249.63	1.6450	
Univ:  34	1243.58	1271.76	0.0201	
Univ:  35	1342.60	1297.20	0.0087	
Univ:  36	1326.22	1300.95	0.0244	
Univ:  37	1411.06	1313.74	0.0577	
Univ:  38	1418.59	1314.65	0.0001	
Univ:  39	1406.27	1270.68	0.0473	
Univ:  40	1219.30	1224.09	0.5808	
Univ:  41	1177.33	1181.80	14.5763	
Univ:  42	1442.11	1128.90	26.9529	
Univ:  43	1234.04	1245.66	0.7016	
Univ:  44	1238.71	1161.88	2.7736	
Univ:  45	1613.19	1277.46	0.0235	
Univ:  46	1327.85	1288.74	0.0095	
Univ:  47	1449.94	1295.18	0.0129	
Univ:  48	1159.55	1328.01	0.0008	
Univ:  49	1462.60	1323.87	0.0030	
Univ:  50	1189.01	1109.97	0.6466	
Univ:  51	1191.82	1266.43	0.0040	
Univ:  52	1311.70	1176.56	11.4931	
Univ:  53	1387.61	1243.49	2.6397	
Univ:  54	1291.26	1198.96	0.0894	
Univ:  55	1210.97	1316.23	0.0015	
Univ:  56	1294.44	1211.16	5.7128	
Univ:  57	1334.71	1297.15	0.0052	
Univ:  58	1372.81	1300.45	0.0783	
Univ:  59	1408.77	1291.80	0.0194	
Univ:  60	1436.15	1181.46	4.3324	
Univ:  61	1373.95	1194.39	1.0557	
Univ:  62	1454.87	1198.84	0.0226	
Univ:  63	1277.72	1317.07	0.0181	
Univ:  64	1266.59	1227.51	3.9175	
Univ:  65	1294.45	1255.75	0.0000	
Univ:  66	1249.63	1189.01	0.3415	
Univ:  67	1271.72	1312.14	0.0084	
Univ:  68	1297.21	1251.70	0.1674	
Univ:  69	1300.95	1289.04	0.0586	
Univ:  70	1347.60	1176.81	1.6557	
Univ:  71	1313.74	1304.14	0.0107	
Univ:  72	1466.77	1224.69	1.4372	
Univ:  73	1314.65	1300.47	0.0084	
Univ:  74	1363.48	1293.06	0.1002	
Univ:  75	1317.55	1232.48	0.0041	
Univ:  76	1350.30	1308.00	0.0228	
Univ:  77	1270.68	1277.08	0.0001	
Univ:  78	1224.09	1248.65	0.0120	
Univ:  79	1313.70	1301.39	0.0490	
Univ:  80	1181.80	1255.31	0.0345	
Univ:  81	1128.90	1131.61	10.2078	
Univ:  82	1245.66	1281.14	0.0006	
Univ:  83	1373.01	1327.98	0.0006	
Univ:  84	1161.84	1264.40	0.5262	
Univ:  85	1322.83	1218.85	6.2670	
Univ:  86	1383.92	1279.82	0.0189	
Univ:  87	1373.94	1172.66	2.3601	
Univ:  88	1277.46	1290.28	0.0079	
Univ:  89	1490.41	1093.07	1.9393	
Univ:  90	1414.51	1264.86	0.1171	
Univ:  91	1403.81	1196.41	4.6141	
Univ:  92	1288.74	1318.18	0.0016	
Univ:  93	1387.43	1280.37	0.0003	
Univ:  94	1402.43	1174.34	8.0226	
Univ:  95	1295.19	1294.83	0.0009	
Univ:  96	1328.01	1248.43	0.0862	
Univ:  97	1540.06	1260.21	0.1362	
Univ:  98	1362.11	1225.42	5.0591	
Univ:  99	1323.87	1291.79	0.0254	
Univ: 100	1109.97	1256.71	0.0020	
Univ: 101	1450.07	1246.83	2.7334	
Univ: 102	1380.00	1181.25	0.1932	
Univ: 103	1363.60	1301.96	0.0646	
Univ: 104	1362.98	1200.21	6.9364	
Univ: 105	1388.08	1192.51	22.2632	
Univ: 106	1415.64	1196.07	0.3077	
Univ: 107	1266.42	1241.02	0.2392	
Univ: 108	1176.56	1197.58	0.7333	
Univ: 109	1243.49	1306.57	0.0140	
Univ: 110	1198.96	1295.02	0.0016	
Univ: 111	1316.21	1194.72	2.5337	
Univ: 112	1211.16	1314.04	0.0015	
Univ: 113	1362.19	1304.96	0.0187	
Univ: 114	1297.15	1329.52	0.0056	
Univ: 115	1339.30	1253.47	0.0069	
Univ: 116	1338.64	1300.77	0.0106	
Univ: 117	1349.34	1273.74	0.0397	
Univ: 118	1447.83	1284.90	0.0440	
Univ: 119	1335.68	1176.19	2.1269	
Univ: 120	1470.61	1279.81	0.0488	
Univ: 121	1390.98	1316.17	0.0000	
Univ: 122	1300.45	1290.09	0.2953	
Univ: 123	1291.80	1277.03	0.2646	
Univ: 124	1181.27	1268.48	0.0061	
Univ: 125	1194.39	1299.95	0.0005	
Univ: 126	1416.90	1249.14	0.9268	
Univ: 127	1326.37	1187.97	6.5918	
Univ: 128	1198.84	1246.39	2.5873	
Univ: 129	1494.45	1239.08	6.4736	
