CV:    -1	23.50	19.17	
Univ:   0	20.69	20.23	4.7996	
Univ:   1	20.23	25.40	0.4793	
Univ:   2	25.40	20.02	1.7721	
Univ:   3	31.43	23.67	0.0265	
Univ:   4	20.02	18.83	2.0172	
Univ:   5	24.34	18.55	18.2290	
Univ:   6	23.67	20.33	6.0805	
Univ:   7	26.36	22.66	0.0146	
Univ:   8	23.74	25.67	0.0004	
Univ:   9	18.83	19.18	1.7594	
Univ:  10	18.55	19.91	0.0766	
Univ:  11	23.56	21.52	0.7419	
Univ:  12	20.33	20.08	0.0040	
Univ:  13	26.01	19.63	0.9884	
Univ:  14	22.66	19.06	3.7430	
Univ:  15	25.67	19.01	2.3940	
Univ:  16	19.18	28.43	0.0000	
Univ:  17	19.91	18.69	1.1059	
Univ:  18	21.52	21.74	0.5576	
Univ:  19	25.71	24.15	0.4062	
Univ:  20	20.08	18.20	8.8922	
Univ:  21	30.18	19.76	1.5933	
Univ:  22	20.66	20.38	2.6269	
Univ:  23	26.10	29.10	0.0001	
Univ:  24	25.79	21.47	1.4874	
Univ:  25	19.63	20.71	7.7481	
Univ:  26	26.89	18.97	17.6498	
Univ:  27	28.15	25.29	0.0009	
Univ:  28	19.06	20.56	4.5745	
Univ:  29	25.12	26.10	0.0003	
Univ:  30	19.01	23.77	0.0193	
Univ:  31	28.43	22.84	0.0494	
Univ:  32	23.85	19.55	0.3966	
Univ:  33	18.69	21.87	1.6450	
Univ:  34	21.74	23.97	0.0201	
Univ:  35	23.14	27.27	0.0087	
Univ:  36	22.14	19.91	0.0244	
Univ:  37	24.90	21.57	0.0577	
Univ:  38	24.23	27.58	0.0001	
Univ:  39	24.76	23.49	0.0473	
Univ:  40	24.15	20.56	0.5808	
Univ:  41	18.20	17.70	14.5763	
Univ:  42	27.26	19.91	26.9529	
Univ:  43	19.76	23.91	0.7016	
Univ:  44	20.38	20.26	2.7736	
Univ:  45	30.22	25.11	0.0235	
Univ:  46	29.10	26.43	0.0095	
Univ:  47	26.29	24.36	0.0129	
Univ:  48	21.47	25.91	0.0008	
Univ:  49	28.81	25.38	0.0030	
Univ:  50	20.71	23.25	0.6466	
Univ:  51	18.97	23.03	0.0040	
Univ:  52	19.57	19.48	11.4931	
Univ:  53	21.79	18.91	2.6397	
Univ:  54	25.29	23.90	0.0894	
Univ:  55	20.56	24.97	0.0015	
Univ:  56	26.10	18.36	5.7128	
Univ:  57	22.15	22.91	0.0052	
Univ:  58	22.30	19.70	0.0783	
Univ:  59	26.93	24.41	0.0194	
Univ:  60	23.80	20.28	4.3324	
Univ:  61	22.44	22.92	1.0557	
Univ:  62	22.34	26.26	0.0226	
Univ:  63	23.77	23.36	0.0181	
Univ:  64	22.84	18.40	3.9175	
Univ:  65	19.55	31.73	0.0000	
Univ:  66	21.87	25.25	0.3415	
Univ:  67	23.97	23.92	0.0084	
Univ:  68	27.27	21.10	0.1674	
Univ:  69	19.91	23.53	0.0586	
Univ:  70	22.84	19.62	1.6557	
Univ:  71	21.57	24.95	0.0107	
Univ:  72	28.27	22.86	1.4372	
Univ:  73	27.58	27.18	0.0084	
Univ:  74	25.70	19.86	0.1002	
Univ:  75	21.73	26.24	0.0041	
Univ:  76	25.17	21.75	0.0228	
Univ:  77	23.49	26.26	0.0001	
Univ:  78	20.56	27.77	0.0120	
Univ:  79	20.50	23.74	0.0490	
Univ:  80	17.70	24.77	0.0345	
Univ:  81	19.91	18.78	10.2078	
Univ:  82	23.91	27.19	0.0006	
Univ:  83	20.48	25.30	0.0006	
Univ:  84	20.26	17.49	0.5262	
Univ:  85	21.12	20.87	6.2670	
Univ:  86	22.28	25.93	0.0189	
Univ:  87	22.23	23.06	2.3601	
