CV:    -1	806.02	742.73	
Univ:   0	811.98	729.21	4.7996	
Univ:   1	729.21	777.00	0.4793	
Univ:   2	777.00	754.28	1.7721	
Univ:   3	789.61	755.94	0.0265	
Univ:   4	754.28	664.21	2.0172	
Univ:   5	861.21	779.30	18.2290	
Univ:   6	755.94	748.44	6.0805	
Univ:   7	847.47	750.38	0.0146	
Univ:   8	847.00	866.38	0.0004	
Univ:   9	664.21	739.14	1.7594	
Univ:  10	779.30	813.89	0.0766	
Univ:  11	853.35	765.06	0.7419	
Univ:  12	748.44	873.46	0.0040	
Univ:  13	849.56	664.20	0.9884	
Univ:  14	750.38	688.35	3.7430	
Univ:  15	866.38	679.31	2.3940	
Univ:  16	739.14	794.24	0.0000	
Univ:  17	813.89	751.87	1.1059	
Univ:  18	765.06	767.97	0.5576	
Univ:  19	854.35	784.32	0.4062	
Univ:  20	873.46	714.37	8.8922	
Univ:  21	876.66	736.78	1.5933	
Univ:  22	808.80	764.00	2.6269	
Univ:  23	843.99	843.61	0.0001	
Univ:  24	909.93	725.60	1.4874	
Univ:  25	664.20	793.82	7.7481	
Univ:  26	802.76	766.18	17.6498	
Univ:  27	840.70	815.42	0.0009	
Univ:  28	688.35	794.24	4.5745	
Univ:  29	803.50	882.77	0.0003	
Univ:  30	679.31	793.71	0.0193	
Univ:  31	794.24	826.97	0.0494	
Univ:  32	815.26	774.97	0.3966	
Univ:  33	751.87	792.05	1.6450	
Univ:  34	767.97	774.26	0.0201	
Univ:  35	818.31	812.68	0.0087	
Univ:  36	785.40	856.19	0.0244	
Univ:  37	889.26	772.11	0.0577	
Univ:  38	796.44	845.43	0.0001	
Univ:  39	875.82	813.63	0.0473	
Univ:  40	784.32	701.55	0.5808	
Univ:  41	714.37	720.35	14.5763	
Univ:  42	836.18	742.23	26.9529	
Univ:  43	736.78	840.72	0.7016	
Univ:  44	764.00	688.84	2.7736	
Univ:  45	976.00	815.04	0.0235	
Univ:  46	843.61	800.57	0.0095	
Univ:  47	833.44	797.26	0.0129	
Univ:  48	725.60	848.04	0.0008	
Univ:  49	843.11	871.31	0.0030	
Univ:  50	793.82	686.74	0.6466	
Univ:  51	766.18	760.26	0.0040	
Univ:  52	779.90	724.87	11.4931	
Univ:  53	805.67	794.59	2.6397	
Univ:  54	815.42	725.54	0.0894	
Univ:  55	794.24	862.28	0.0015	
Univ:  56	882.77	741.99	5.7128	
Univ:  57	820.41	831.54	0.0052	
Univ:  58	822.94	760.26	0.0783	
Univ:  59	889.73	770.61	0.0194	
Univ:  60	834.04	724.25	4.3324	
Univ:  61	846.14	721.12	1.0557	
Univ:  62	859.56	772.41	0.0226	
