CV:    -1	3.24	2.78	
Univ:   0	3.16	2.65	4.7996	
Univ:   1	2.65	3.36	0.4793	
Univ:   2	3.36	2.87	1.7721	
Univ:   3	3.42	3.10	0.0265	
Univ:   4	2.87	2.59	2.0172	
Univ:   5	3.33	3.03	18.2290	
Univ:   6	3.10	2.70	6.0805	
Univ:   7	3.57	3.00	0.0146	
Univ:   8	3.27	3.66	0.0004	
Univ:   9	2.59	2.95	1.7594	
Univ:  10	3.03	2.87	0.0766	
Univ:  11	3.61	3.46	0.7419	
Univ:  12	2.70	3.01	0.0040	
Univ:  13	3.41	2.68	0.9884	
Univ:  14	3.00	2.46	3.7430	
Univ:  15	3.66	2.52	2.3940	
Univ:  16	2.95	3.58	0.0000	
Univ:  17	2.87	2.74	1.1059	
Univ:  18	3.46	2.97	0.5576	
Univ:  19	3.51	3.26	0.4062	
Univ:  20	3.01	2.83	8.8922	
Univ:  21	3.85	2.63	1.5933	
Univ:  22	2.50	3.01	2.6269	
Univ:  23	3.70	3.81	0.0001	
Univ:  24	3.79	2.98	1.4874	
Univ:  25	2.68	2.82	7.7481	
Univ:  26	3.31	2.45	17.6498	
Univ:  27	3.54	3.38	0.0009	
Univ:  28	2.46	2.98	4.5745	
Univ:  29	3.41	3.76	0.0003	
Univ:  30	2.52	3.10	0.0193	
Univ:  31	3.58	3.03	0.0494	
Univ:  32	3.26	2.96	0.3966	
Univ:  33	2.74	3.22	1.6450	
Univ:  34	2.97	3.20	0.0201	
Univ:  35	3.45	3.69	0.0087	
Univ:  36	3.14	2.79	0.0244	
Univ:  37	3.68	3.07	0.0577	
Univ:  38	3.05	3.49	0.0001	
Univ:  39	3.38	3.03	0.0473	
Univ:  40	3.26	2.82	0.5808	
Univ:  41	2.83	2.79	14.5763	
Univ:  42	3.62	2.94	26.9529	
Univ:  43	2.63	3.33	0.7016	
Univ:  44	3.01	2.72	2.7736	
Univ:  45	3.93	3.28	0.0235	
Univ:  46	3.81	3.53	0.0095	
Univ:  47	3.39	3.16	0.0129	
Univ:  48	2.98	3.52	0.0008	
Univ:  49	3.57	3.83	0.0030	
Univ:  50	2.82	3.31	0.6466	
Univ:  51	2.45	3.03	0.0040	
Univ:  52	2.93	2.61	11.4931	
Univ:  53	3.14	2.67	2.6397	
Univ:  54	3.38	3.16	0.0894	
Univ:  55	2.98	3.64	0.0015	
Univ:  56	3.76	2.54	5.7128	
Univ:  57	3.10	3.44	0.0052	
Univ:  58	3.18	2.85	0.0783	
Univ:  59	3.59	3.37	0.0194	
Univ:  60	3.31	2.70	4.3324	
Univ:  61	3.28	3.12	1.0557	
Univ:  62	3.47	3.62	0.0226	
Univ:  63	3.10	3.66	0.0181	
Univ:  64	3.03	2.46	3.9175	
Univ:  65	2.96	4.09	0.0000	
Univ:  66	3.22	3.48	0.3415	
Univ:  67	3.20	3.52	0.0084	
Univ:  68	3.69	2.62	0.1674	
Univ:  69	2.79	3.34	0.0586	
Univ:  70	3.15	2.81	1.6557	
Univ:  71	3.07	3.30	0.0107	
Univ:  72	3.89	3.23	1.4372	
Univ:  73	3.49	3.92	0.0084	
Univ:  74	3.20	2.95	0.1002	
Univ:  75	3.16	3.74	0.0041	
Univ:  76	3.67	3.00	0.0228	
Univ:  77	3.03	3.04	0.0001	
Univ:  78	2.82	3.61	0.0120	
Univ:  79	2.90	3.12	0.0490	
Univ:  80	2.79	3.25	0.0345	
Univ:  81	2.94	2.40	10.2078	
Univ:  82	3.33	3.46	0.0006	
Univ:  83	2.88	3.61	0.0006	
Univ:  84	2.72	2.63	0.5262	
Univ:  85	3.00	3.31	6.2670	
Univ:  86	3.52	3.58	0.0189	
Univ:  87	3.25	3.11	2.3601	
Univ:  88	3.28	3.39	0.0079	
Univ:  89	3.83	2.36	1.9393	
Univ:  90	3.52	3.05	0.1171	
Univ:  91	3.82	2.91	4.6141	
Univ:  92	3.53	3.53	0.0016	
Univ:  93	4.08	3.62	0.0003	
Univ:  94	3.63	2.80	8.0226	
Univ:  95	3.16	3.58	0.0009	
Univ:  96	3.52	2.98	0.0862	
Univ:  97	3.96	2.93	0.1362	
Univ:  98	3.07	2.84	5.0591	
Univ:  99	3.83	3.15	0.0254	
Univ: 100	3.31	3.17	0.0020	
Univ: 101	3.86	2.74	2.7334	
Univ: 102	3.73	3.22	0.1932	
Univ: 103	3.40	3.08	0.0646	
Univ: 104	3.20	2.85	6.9364	
Univ: 105	3.26	2.72	22.2632	
Univ: 106	3.50	3.19	0.3077	
Univ: 107	3.03	3.36	0.2392	
Univ: 108	2.61	3.28	0.7333	
Univ: 109	2.67	3.58	0.0140	
Univ: 110	3.16	3.39	0.0016	
Univ: 111	3.64	3.19	2.5337	
Univ: 112	2.54	3.47	0.0015	
Univ: 113	3.19	2.84	0.0187	
Univ: 114	3.44	3.19	0.0056	
Univ: 115	3.82	3.41	0.0069	
Univ: 116	3.17	3.38	0.0106	
