CV:    -1	85.96	76.43	
Univ:   0	83.15	76.41	4.7996	
Univ:   1	76.41	81.78	0.4793	
Univ:   2	81.78	78.76	1.7721	
Univ:   3	96.87	86.79	0.0265	
Univ:   4	78.76	71.25	2.0172	
Univ:   5	90.13	77.24	18.2290	
Univ:   6	86.79	77.20	6.0805	
Univ:   7	92.61	84.56	0.0146	
Univ:   8	85.68	87.08	0.0004	
Univ:   9	71.25	78.88	1.7594	
Univ:  10	77.24	81.11	0.0766	
Univ:  11	89.18	78.37	0.7419	
Univ:  12	77.20	82.91	0.0040	
Univ:  13	88.97	70.61	0.9884	
Univ:  14	84.56	75.50	3.7430	
Univ:  15	87.08	74.59	2.3940	
Univ:  16	78.88	88.11	0.0000	
Univ:  17	81.11	78.21	1.1059	
Univ:  18	78.37	81.06	0.5576	
Univ:  19	87.82	82.38	0.4062	
Univ:  20	82.91	75.84	8.8922	
Univ:  21	100.86	79.99	1.5933	
Univ:  22	84.06	79.50	2.6269	
Univ:  23	91.84	92.56	0.0001	
Univ:  24	95.39	77.44	1.4874	
Univ:  25	70.61	77.04	7.7481	
Univ:  26	90.62	76.19	17.6498	
Univ:  27	92.99	88.57	0.0009	
Univ:  28	75.50	80.03	4.5745	
Univ:  29	88.84	84.76	0.0003	
Univ:  30	74.59	86.25	0.0193	
Univ:  31	88.11	80.58	0.0494	
Univ:  32	89.28	83.37	0.3966	
Univ:  33	78.21	80.91	1.6450	
Univ:  34	81.06	84.20	0.0201	
Univ:  35	87.30	91.42	0.0087	
Univ:  36	86.87	82.91	0.0244	
Univ:  37	91.25	85.35	0.0577	
Univ:  38	89.79	86.03	0.0001	
Univ:  39	92.67	82.80	0.0473	
Univ:  40	82.38	80.96	0.5808	
Univ:  41	75.84	75.36	14.5763	
Univ:  42	96.34	75.12	26.9529	
Univ:  43	79.99	84.68	0.7016	
Univ:  44	79.50	76.72	2.7736	
Univ:  45	104.82	82.27	0.0235	
Univ:  46	92.56	87.25	0.0095	
Univ:  47	96.18	85.91	0.0129	
Univ:  48	77.44	87.72	0.0008	
Univ:  49	95.66	88.21	0.0030	
Univ:  50	77.04	75.87	0.6466	
Univ:  51	76.19	83.99	0.0040	
Univ:  52	81.66	74.74	11.4931	
Univ:  53	86.98	78.19	2.6397	
Univ:  54	88.57	81.01	0.0894	
Univ:  55	80.03	86.57	0.0015	
Univ:  56	84.76	75.95	5.7128	
Univ:  57	86.12	85.04	0.0052	
Univ:  58	85.98	82.14	0.0783	
Univ:  59	92.97	84.48	0.0194	
Univ:  60	93.00	78.03	4.3324	
Univ:  61	88.15	78.89	1.0557	
Univ:  62	92.93	81.70	0.0226	
Univ:  63	86.25	87.84	0.0181	
Univ:  64	80.58	76.90	3.9175	
Univ:  65	83.37	89.53	0.0000	
Univ:  66	80.91	80.96	0.3415	
Univ:  67	84.20	88.48	0.0084	
Univ:  68	91.42	81.06	0.1674	
Univ:  69	82.91	84.21	0.0586	
Univ:  70	85.76	75.97	1.6557	
Univ:  71	85.35	82.51	0.0107	
Univ:  72	96.00	80.23	1.4372	
Univ:  73	86.03	87.34	0.0084	
Univ:  74	87.65	80.55	0.1002	
Univ:  75	85.31	84.66	0.0041	
Univ:  76	92.22	82.46	0.0228	
Univ:  77	82.80	83.76	0.0001	
Univ:  78	80.96	85.51	0.0120	
Univ:  79	82.17	85.08	0.0490	
Univ:  80	75.36	81.95	0.0345	
Univ:  81	75.12	73.81	10.2078	
Univ:  82	84.68	88.30	0.0006	
Univ:  83	86.59	86.85	0.0006	
Univ:  84	76.72	77.49	0.5262	
Univ:  85	82.57	81.73	6.2670	
Univ:  86	87.00	87.63	0.0189	
Univ:  87	89.00	78.89	2.3601	
Univ:  88	82.27	86.52	0.0079	
Univ:  89	99.23	69.44	1.9393	
Univ:  90	90.49	81.92	0.1171	
Univ:  91	91.89	79.31	4.6141	
Univ:  92	87.25	86.40	0.0016	
Univ:  93	91.73	90.12	0.0003	
Univ:  94	91.57	76.02	8.0226	
Univ:  95	85.91	87.30	0.0009	
Univ:  96	87.72	83.00	0.0862	
Univ:  97	103.24	82.31	0.1362	
Univ:  98	89.79	78.67	5.0591	
Univ:  99	88.21	83.14	0.0254	
Univ: 100	75.87	84.17	0.0020	
Univ: 101	95.19	78.85	2.7334	
Univ: 102	94.51	82.54	0.1932	
Univ: 103	87.42	85.04	0.0646	
Univ: 104	90.88	77.08	6.9364	
Univ: 105	90.96	75.66	22.2632	
Univ: 106	90.15	80.56	0.3077	
Univ: 107	83.99	84.73	0.2392	
Univ: 108	74.74	80.51	0.7333	
Univ: 109	78.19	86.23	0.0140	
Univ: 110	81.01	85.89	0.0016	
Univ: 111	86.57	77.36	2.5337	
Univ: 112	75.95	88.33	0.0015	
Univ: 113	90.25	81.68	0.0187	
Univ: 114	85.04	86.07	0.0056	
Univ: 115	88.36	84.94	0.0069	
Univ: 116	87.12	85.60	0.0106	
Univ: 117	89.49	87.70	0.0397	
Univ: 118	93.70	85.31	0.0440	
Univ: 119	84.93	77.10	2.1269	
Univ: 120	98.90	82.24	0.0488	
Univ: 121	96.02	92.73	0.0000	
Univ: 122	82.14	83.65	0.2953	
Univ: 123	84.48	83.88	0.2646	
Univ: 124	78.03	83.97	0.0061	
Univ: 125	78.89	88.25	0.0005	
Univ: 126	91.50	83.75	0.9268	
Univ: 127	81.98	77.10	6.5918	
Univ: 128	81.70	76.42	2.5873	
Univ: 129	94.38	77.28	6.4736	
Univ: 130	98.08	77.13	13.3334	
Univ: 131	94.41	80.21	5.9443	
Univ: 132	87.07	85.18	0.0003	
Univ: 133	86.27	84.22	0.0893	
Univ: 134	87.84	82.59	0.0272	
Univ: 135	96.82	80.91	1.2869	
Univ: 136	76.90	85.74	0.2487	
Univ: 137	92.83	87.25	0.0007	
Univ: 138	87.29	80.20	4.9736	
Univ: 139	89.53	88.25	0.0012	
Univ: 140	80.96	85.19	0.0367	
Univ: 141	88.48	81.58	0.2020	
Univ: 142	81.06	83.94	0.0157	
Univ: 143	84.21	89.65	0.0000	
Univ: 144	94.73	85.66	0.0557	
Univ: 145	75.97	87.59	0.0159	
