CV:    -1	1182.84	1065.00	
Univ:   0	1184.86	1077.84	4.7996	
Univ:   1	1077.84	1056.65	0.4793	
Univ:   2	1056.63	1119.13	1.7721	
Univ:   3	1301.64	1146.68	0.0265	
Univ:   4	1119.14	976.68	2.0172	
Univ:   5	1256.15	1056.91	18.2290	
Univ:   6	1146.68	1062.29	6.0805	
Univ:   7	1300.25	1180.83	0.0146	
Univ:   8	1196.67	1163.03	0.0004	
Univ:   9	976.67	1137.39	1.7594	
Univ:  10	1056.91	1171.07	0.0766	
Univ:  11	1247.97	1143.53	0.7419	
Univ:  12	1062.24	1174.35	0.0040	
Univ:  13	1195.03	984.45	0.9884	
Univ:  14	1180.83	1035.12	3.7430	
Univ:  15	1163.03	1014.72	2.3940	
Univ:  16	1137.39	1151.75	0.0000	
Univ:  17	1171.08	1151.75	1.1059	
Univ:  18	1143.53	1120.26	0.5576	
Univ:  19	1203.23	1092.92	0.4062	
Univ:  20	1174.35	1060.17	8.8922	
Univ:  21	1344.43	1113.66	1.5933	
Univ:  22	1220.24	1116.40	2.6269	
Univ:  23	1266.43	1185.33	0.0001	
Univ:  24	1325.48	1042.76	1.4874	
Univ:  25	984.46	1068.88	7.7481	
Univ:  26	1233.01	1076.08	17.6498	
Univ:  27	1300.85	1155.51	0.0009	
Univ:  28	1035.13	1085.80	4.5745	
Univ:  29	1210.00	1158.91	0.0003	
Univ:  30	1014.72	1148.57	0.0193	
Univ:  31	1151.70	1139.70	0.0494	
Univ:  32	1293.85	1166.55	0.3966	
Univ:  33	1151.73	1121.10	1.6450	
Univ:  34	1120.27	1144.03	0.0201	
Univ:  35	1205.09	1159.03	0.0087	
Univ:  36	1192.24	1170.70	0.0244	
Univ:  37	1262.47	1182.08	0.0577	
Univ:  38	1285.87	1179.29	0.0001	
Univ:  39	1261.20	1142.74	0.0473	
Univ:  40	1092.87	1105.28	0.5808	
Univ:  41	1060.17	1068.10	14.5763	
Univ:  42	1295.74	1012.42	26.9529	
Univ:  43	1113.66	1114.23	0.7016	
Univ:  44	1116.40	1049.90	2.7736	
Univ:  45	1451.00	1150.37	0.0235	
Univ:  46	1185.34	1157.18	0.0095	
Univ:  47	1305.85	1164.29	0.0129	
Univ:  48	1042.76	1190.73	0.0008	
Univ:  49	1316.08	1184.84	0.0030	
Univ:  50	1068.88	995.37	0.6466	
Univ:  51	1076.08	1142.00	0.0040	
Univ:  52	1185.73	1061.97	11.4931	
Univ:  53	1256.67	1122.52	2.6397	
Univ:  54	1155.51	1077.96	0.0894	
Univ:  55	1085.79	1179.40	0.0015	
Univ:  56	1158.92	1094.21	5.7128	
Univ:  57	1200.86	1164.49	0.0052	
Univ:  58	1240.19	1173.55	0.0783	
Univ:  59	1262.16	1162.46	0.0194	
Univ:  60	1294.36	1061.53	4.3324	
Univ:  61	1236.03	1075.13	1.0557	
Univ:  62	1310.06	1071.69	0.0226	
Univ:  63	1148.56	1179.70	0.0181	
Univ:  64	1139.70	1112.06	3.9175	
Univ:  65	1166.55	1118.65	0.0000	
Univ:  66	1121.11	1063.59	0.3415	
Univ:  67	1143.98	1173.67	0.0084	
Univ:  68	1159.04	1135.21	0.1674	
Univ:  69	1170.70	1159.19	0.0586	
Univ:  70	1213.52	1059.24	1.6557	
Univ:  71	1182.08	1175.96	0.0107	
Univ:  72	1318.29	1099.23	1.4372	
Univ:  73	1179.29	1162.66	0.0084	
Univ:  74	1231.39	1166.61	0.1002	
