CV:    -1	28.65	26.54	
Univ:   0	28.98	25.15	4.7996	
Univ:   1	25.15	28.05	0.4793	
Univ:   2	28.05	26.59	1.7721	
Univ:   3	26.79	27.24	0.0265	
Univ:   4	26.59	24.63	2.0172	
Univ:   5	30.76	28.55	18.2290	
Univ:   6	27.24	26.48	6.0805	
Univ:   7	29.19	26.62	0.0146	
Univ:   8	29.81	31.10	0.0004	
Univ:   9	24.63	27.04	1.7594	
Univ:  10	28.55	29.07	0.0766	
Univ:  11	31.17	27.98	0.7419	
Univ:  12	26.48	30.67	0.0040	
Univ:  13	30.00	23.85	0.9884	
Univ:  14	26.62	24.57	3.7430	
Univ:  15	31.10	24.33	2.3940	
Univ:  16	27.04	28.13	0.0000	
Univ:  17	29.07	26.27	1.1059	
Univ:  18	27.98	27.40	0.5576	
Univ:  19	29.56	28.30	0.4062	
Univ:  20	30.67	25.29	8.8922	
Univ:  21	30.08	25.67	1.5933	
Univ:  22	26.90	27.66	2.6269	
Univ:  23	29.50	30.49	0.0001	
Univ:  24	32.44	26.69	1.4874	
Univ:  25	23.85	27.52	7.7481	
Univ:  26	28.13	26.64	17.6498	
Univ:  27	29.04	29.90	0.0009	
Univ:  28	24.57	28.32	4.5745	
Univ:  29	28.83	31.49	0.0003	
Univ:  30	24.33	28.05	0.0193	
Univ:  31	28.13	28.41	0.0494	
Univ:  32	28.36	27.66	0.3966	
Univ:  33	26.27	28.25	1.6450	
Univ:  34	27.40	27.43	0.0201	
Univ:  35	29.35	29.99	0.0087	
Univ:  36	28.47	29.58	0.0244	
Univ:  37	31.86	27.44	0.0577	
Univ:  38	27.56	29.46	0.0001	
Univ:  39	31.57	28.50	0.0473	
Univ:  40	28.30	25.46	0.5808	
Univ:  41	25.29	25.99	14.5763	
Univ:  42	29.87	27.78	26.9529	
Univ:  43	25.67	30.04	0.7016	
Univ:  44	27.66	25.07	2.7736	
Univ:  45	33.73	28.18	0.0235	
Univ:  46	30.49	28.94	0.0095	
Univ:  47	29.55	28.50	0.0129	
Univ:  48	26.69	29.96	0.0008	
Univ:  49	29.58	31.69	0.0030	
Univ:  50	27.52	25.22	0.6466	
Univ:  51	26.64	26.80	0.0040	
Univ:  52	28.04	25.35	11.4931	
Univ:  53	28.34	27.63	2.6397	
Univ:  54	29.90	26.17	0.0894	
Univ:  55	28.32	31.04	0.0015	
Univ:  56	31.49	25.46	5.7128	
Univ:  57	29.19	29.72	0.0052	
Univ:  58	28.86	27.02	0.0783	
Univ:  59	31.57	27.64	0.0194	
Univ:  60	29.78	25.60	4.3324	
Univ:  61	30.52	25.51	1.0557	
Univ:  62	31.79	27.88	0.0226	
Univ:  63	28.05	30.57	0.0181	
Univ:  64	28.41	25.33	3.9175	
Univ:  65	27.66	28.71	0.0000	
Univ:  66	28.25	27.10	0.3415	
Univ:  67	27.43	30.77	0.0084	
Univ:  68	29.99	25.09	0.1674	
Univ:  69	29.58	28.08	0.0586	
Univ:  70	28.83	24.89	1.6557	
Univ:  71	27.44	28.33	0.0107	
Univ:  72	31.08	29.74	1.4372	
Univ:  73	29.46	30.91	0.0084	
Univ:  74	28.28	27.86	0.1002	
Univ:  75	26.89	29.63	0.0041	
Univ:  76	30.10	27.64	0.0228	
Univ:  77	28.50	25.70	0.0001	
Univ:  78	25.46	28.59	0.0120	
Univ:  79	26.13	28.27	0.0490	
Univ:  80	25.99	26.46	0.0345	
Univ:  81	27.78	24.16	10.2078	
Univ:  82	30.04	28.11	0.0006	
Univ:  83	28.01	30.21	0.0006	
Univ:  84	25.07	25.76	0.5262	
Univ:  85	28.60	28.68	6.2670	
Univ:  86	30.91	30.81	0.0189	
Univ:  87	29.06	27.82	2.3601	
Univ:  88	28.18	30.35	0.0079	
Univ:  89	32.17	23.80	1.9393	
Univ:  90	31.21	29.36	0.1171	
Univ:  91	29.83	25.94	4.6141	
Univ:  92	28.94	29.96	0.0016	
Univ:  93	32.27	27.03	0.0003	
Univ:  94	31.06	26.15	8.0226	
Univ:  95	28.50	28.56	0.0009	
Univ:  96	29.96	26.24	0.0862	
Univ:  97	31.67	25.91	0.1362	
Univ:  98	28.39	27.58	5.0591	
Univ:  99	31.69	29.06	0.0254	
Univ: 100	25.22	25.70	0.0020	
Univ: 101	32.32	26.90	2.7334	
Univ: 102	30.08	27.31	0.1932	
Univ: 103	31.20	27.43	0.0646	
Univ: 104	27.58	27.57	6.9364	
Univ: 105	29.36	26.33	22.2632	
Univ: 106	31.07	26.05	0.3077	
Univ: 107	26.80	27.95	0.2392	
Univ: 108	25.35	28.16	0.7333	
Univ: 109	27.63	30.30	0.0140	
Univ: 110	26.17	29.26	0.0016	
Univ: 111	31.04	28.58	2.5337	
Univ: 112	25.46	28.83	0.0015	
Univ: 113	28.19	24.87	0.0187	
Univ: 114	29.72	31.28	0.0056	
Univ: 115	30.77	28.65	0.0069	
Univ: 116	27.08	29.69	0.0106	
Univ: 117	30.77	29.09	0.0397	
Univ: 118	29.45	29.73	0.0440	
Univ: 119	28.45	26.94	2.1269	
Univ: 120	32.54	29.36	0.0488	
Univ: 121	31.06	28.44	0.0000	
Univ: 122	27.02	29.34	0.2953	
Univ: 123	27.64	26.67	0.2646	
Univ: 124	25.60	28.55	0.0061	
Univ: 125	25.51	28.74	0.0005	
Univ: 126	32.54	28.25	0.9268	
Univ: 127	26.72	28.06	6.5918	
Univ: 128	27.88	27.66	2.5873	
Univ: 129	30.16	27.16	6.4736	
Univ: 130	30.98	26.56	13.3334	
Univ: 131	29.71	26.72	5.9443	
Univ: 132	29.69	27.63	0.0003	
Univ: 133	28.51	28.15	0.0893	
Univ: 134	30.57	26.53	0.0272	
Univ: 135	33.58	26.43	1.2869	
Univ: 136	25.33	27.43	0.2487	
Univ: 137	32.63	28.42	0.0007	
Univ: 138	28.86	27.81	4.9736	
Univ: 139	28.71	27.99	0.0012	
Univ: 140	27.10	27.34	0.0367	
Univ: 141	30.77	27.46	0.2020	
Univ: 142	25.09	27.13	0.0157	
Univ: 143	28.08	30.29	0.0000	
Univ: 144	32.30	29.14	0.0557	
Univ: 145	24.89	30.77	0.0159	
Univ: 146	29.72	28.38	0.4268	
Univ: 147	28.33	27.99	1.3398	
Univ: 148	29.56	26.82	30.7099	
Univ: 149	29.74	29.14	6.3116	
Univ: 150	28.56	24.74	0.4250	
Univ: 151	30.91	25.80	0.0693	
Univ: 152	27.86	27.71	0.0024	
Univ: 153	28.46	26.31	1.5828	
Univ: 154	29.63	28.20	0.0046	
Univ: 155	30.17	24.59	2.2674	
Univ: 156	27.64	26.93	0.0554	
Univ: 157	28.90	27.94	0.1773	
Univ: 158	27.98	28.22	3.4980	
Univ: 159	30.01	25.89	12.5155	
Univ: 160	26.61	25.48	6.1035	
Univ: 161	25.70	28.08	0.8375	
Univ: 162	31.79	26.13	1.8636	
Univ: 163	28.59	28.69	0.0003	
Univ: 164	28.27	29.17	0.3594	
Univ: 165	26.46	28.93	0.0058	
Univ: 166	24.16	27.79	0.0004	
Univ: 167	32.29	26.85	0.0210	
Univ: 168	28.11	28.96	0.0334	
Univ: 169	30.21	28.46	0.0530	
Univ: 170	25.76	31.32	0.0005	
Univ: 171	28.68	25.56	1.8832	
Univ: 172	30.45	26.96	0.2410	
Univ: 173	32.23	29.57	0.0001	
Univ: 174	31.64	31.77	0.0002	
Univ: 175	30.29	22.41	1.8549	
Univ: 176	30.81	30.27	0.0001	
Univ: 177	27.82	27.72	0.5346	
Univ: 178	30.35	25.83	14.8848	
Univ: 179	23.80	31.66	0.0150	
Univ: 180	28.17	27.64	0.0429	
Univ: 181	31.75	30.46	0.0003	
Univ: 182	29.36	28.69	0.0023	
Univ: 183	28.61	29.02	0.0755	
Univ: 184	25.94	27.84	0.0592	
Univ: 185	29.96	29.29	0.0012	
Univ: 186	32.13	28.53	0.0348	
Univ: 187	33.19	26.69	0.1146	
Univ: 188	29.10	25.62	1.1583	
Univ: 189	33.45	26.50	9.6988	
Univ: 190	27.03	29.87	0.0561	
Univ: 191	26.15	28.21	0.0006	
Univ: 192	29.95	25.40	3.9773	
Univ: 193	29.65	28.82	0.1298	
