CV:    -1	647.13	606.76	
Univ:   0	658.40	594.05	4.7996	
Univ:   1	594.05	628.22	0.4793	
Univ:   2	628.22	609.47	1.7721	
Univ:   3	602.95	606.63	0.0265	
Univ:   4	609.47	539.26	2.0172	
Univ:   5	686.09	641.90	18.2290	
Univ:   6	606.63	609.37	6.0805	
Univ:   7	674.23	599.18	0.0146	
Univ:   8	679.35	693.20	0.0004	
Univ:   9	539.26	600.64	1.7594	
Univ:  10	641.90	666.20	0.0766	
Univ:  11	688.80	617.23	0.7419	
Univ:  12	609.37	714.38	0.0040	
Univ:  13	674.68	531.37	0.9884	
Univ:  14	599.18	555.45	3.7430	
Univ:  15	693.20	554.47	2.3940	
Univ:  16	600.64	623.52	0.0000	
Univ:  17	666.20	612.47	1.1059	
Univ:  18	617.23	619.20	0.5576	
Univ:  19	680.77	630.59	0.4062	
Univ:  20	714.38	580.81	8.8922	
Univ:  21	687.23	595.32	1.5933	
Univ:  22	654.22	617.34	2.6269	
Univ:  23	665.64	669.69	0.0001	
Univ:  24	724.40	584.41	1.4874	
Univ:  25	531.37	653.84	7.7481	
Univ:  26	634.70	627.31	17.6498	
Univ:  27	657.95	647.70	0.0009	
Univ:  28	555.45	644.84	4.5745	
Univ:  29	639.42	710.20	0.0003	
Univ:  30	554.47	640.60	0.0193	
Univ:  31	623.52	670.68	0.0494	
Univ:  32	651.76	631.73	0.3966	
Univ:  33	612.47	639.91	1.6450	
Univ:  34	619.20	618.00	0.0201	
Univ:  35	661.40	654.51	0.0087	
Univ:  36	632.85	704.66	0.0244	
Univ:  37	709.99	614.87	0.0577	
Univ:  38	634.60	675.29	0.0001	
Univ:  39	698.53	657.87	0.0473	
Univ:  40	630.59	561.63	0.5808	
Univ:  41	580.81	592.05	14.5763	
Univ:  42	659.40	607.79	26.9529	
Univ:  43	595.32	691.77	0.7016	
Univ:  44	617.34	555.82	2.7736	
Univ:  45	780.04	656.70	0.0235	
Univ:  46	669.69	640.59	0.0095	
Univ:  47	654.92	639.06	0.0129	
Univ:  48	584.41	683.16	0.0008	
Univ:  49	658.42	707.99	0.0030	
Univ:  50	653.84	545.85	0.6466	
Univ:  51	627.31	604.00	0.0040	
Univ:  52	632.56	587.72	11.4931	
Univ:  53	653.54	656.29	2.6397	
Univ:  54	647.70	575.29	0.0894	
Univ:  55	644.84	698.81	0.0015	
Univ:  56	710.20	604.45	5.7128	
Univ:  57	655.20	670.56	0.0052	
Univ:  58	659.87	610.27	0.0783	
Univ:  59	711.07	613.87	0.0194	
Univ:  60	664.88	582.47	4.3324	
Univ:  61	685.53	575.22	1.0557	
Univ:  62	691.36	608.77	0.0226	
Univ:  63	640.60	674.62	0.0181	
Univ:  64	670.68	597.84	3.9175	
Univ:  65	631.73	618.92	0.0000	
Univ:  66	639.91	588.25	0.3415	
Univ:  67	618.00	683.25	0.0084	
Univ:  68	654.51	563.46	0.1674	
Univ:  69	704.66	633.35	0.0586	
Univ:  70	662.35	537.94	1.6557	
Univ:  71	614.87	637.41	0.0107	
Univ:  72	690.59	664.70	1.4372	
Univ:  73	675.29	669.34	0.0084	
Univ:  74	647.19	664.82	0.1002	
Univ:  75	605.04	644.59	0.0041	
Univ:  76	645.51	632.55	0.0228	
Univ:  77	657.87	592.81	0.0001	
Univ:  78	561.63	620.94	0.0120	
Univ:  79	600.65	659.37	0.0490	
Univ:  80	592.05	596.22	0.0345	
Univ:  81	607.79	566.84	10.2078	
Univ:  82	691.77	628.13	0.0006	
Univ:  83	641.65	663.63	0.0006	
Univ:  84	555.82	575.68	0.5262	
Univ:  85	662.16	644.14	6.2670	
Univ:  86	701.50	690.20	0.0189	
Univ:  87	670.46	641.34	2.3601	
Univ:  88	656.70	700.62	0.0079	
Univ:  89	703.73	538.93	1.9393	
Univ:  90	704.24	691.94	0.1171	
Univ:  91	646.45	564.66	4.6141	
Univ:  92	640.59	660.55	0.0016	
Univ:  93	707.23	578.03	0.0003	
Univ:  94	698.33	606.41	8.0226	
Univ:  95	639.06	625.93	0.0009	
Univ:  96	683.16	588.45	0.0862	
Univ:  97	690.69	587.93	0.1362	
Univ:  98	656.58	629.00	5.0591	
Univ:  99	707.99	684.97	0.0254	
Univ: 100	545.85	575.96	0.0020	
Univ: 101	720.11	605.95	2.7334	
Univ: 102	657.02	603.96	0.1932	
Univ: 103	708.32	619.09	0.0646	
Univ: 104	603.39	636.51	6.9364	
Univ: 105	657.93	606.42	22.2632	
Univ: 106	702.97	564.61	0.3077	
Univ: 107	604.00	613.57	0.2392	
Univ: 108	587.72	619.14	0.7333	
Univ: 109	656.29	659.66	0.0140	
Univ: 110	575.29	680.44	0.0016	
Univ: 111	698.81	660.13	2.5337	
Univ: 112	604.45	629.41	0.0015	
Univ: 113	624.54	564.20	0.0187	
Univ: 114	670.56	697.94	0.0056	
Univ: 115	677.47	635.23	0.0069	
Univ: 116	615.25	665.36	0.0106	
Univ: 117	724.33	652.95	0.0397	
Univ: 118	662.70	673.09	0.0440	
Univ: 119	663.37	610.12	2.1269	
Univ: 120	721.75	669.16	0.0488	
Univ: 121	665.59	609.35	0.0000	
Univ: 122	610.27	656.18	0.2953	
Univ: 123	613.87	598.54	0.2646	
Univ: 124	582.47	642.46	0.0061	
Univ: 125	575.22	645.41	0.0005	
Univ: 126	738.16	614.52	0.9268	
Univ: 127	619.45	649.87	6.5918	
