CV:    -1	106.74	90.25	
Univ:   0	103.91	89.77	4.7996	
Univ:   1	89.77	95.33	0.4793	
Univ:   2	95.33	98.21	1.7721	
Univ:   3	128.43	98.40	0.0265	
Univ:   4	98.21	81.49	2.0172	
Univ:   5	120.03	90.30	18.2290	
Univ:   6	98.40	92.26	6.0805	
Univ:   7	117.69	101.92	0.0146	
Univ:   8	114.09	116.41	0.0004	
Univ:   9	81.49	92.27	1.7594	
Univ:  10	90.30	98.72	0.0766	
Univ:  11	109.82	98.34	0.7419	
Univ:  12	92.26	108.33	0.0040	
Univ:  13	118.87	89.34	0.9884	
Univ:  14	101.92	89.27	3.7430	
Univ:  15	116.41	81.51	2.3940	
Univ:  16	92.27	114.16	0.0000	
Univ:  17	98.72	94.44	1.1059	
Univ:  18	98.34	99.63	0.5576	
Univ:  19	118.31	101.27	0.4062	
Univ:  20	108.33	90.07	8.8922	
Univ:  21	129.16	96.03	1.5933	
Univ:  22	107.03	98.62	2.6269	
Univ:  23	122.75	114.33	0.0001	
Univ:  24	127.30	93.03	1.4874	
Univ:  25	89.34	91.74	7.7481	
Univ:  26	113.04	93.26	17.6498	
Univ:  27	125.55	112.53	0.0009	
Univ:  28	89.27	100.52	4.5745	
Univ:  29	110.13	114.97	0.0003	
Univ:  30	81.51	101.29	0.0193	
Univ:  31	114.16	105.04	0.0494	
Univ:  32	111.29	96.03	0.3966	
Univ:  33	94.44	102.03	1.6450	
Univ:  34	99.63	104.86	0.0201	
Univ:  35	104.42	100.91	0.0087	
Univ:  36	101.94	102.04	0.0244	
Univ:  37	122.51	108.23	0.0577	
Univ:  38	110.06	113.10	0.0001	
Univ:  39	120.95	103.76	0.0473	
Univ:  40	101.27	93.91	0.5808	
Univ:  41	90.07	84.61	14.5763	
Univ:  42	119.65	86.75	26.9529	
Univ:  43	96.03	95.00	0.7016	
Univ:  44	98.62	87.69	2.7736	
Univ:  45	132.01	105.05	0.0235	
Univ:  46	114.33	104.61	0.0095	
Univ:  47	122.69	105.34	0.0129	
Univ:  48	93.03	109.02	0.0008	
Univ:  49	126.29	106.26	0.0030	
Univ:  50	91.74	92.41	0.6466	
Univ:  51	93.26	106.42	0.0040	
Univ:  52	99.73	92.32	11.4931	
Univ:  53	102.00	91.76	2.6397	
Univ:  54	112.53	100.18	0.0894	
Univ:  55	100.52	107.46	0.0015	
Univ:  56	114.97	93.72	5.7128	
Univ:  57	113.87	108.35	0.0052	
Univ:  58	111.91	103.27	0.0783	
Univ:  59	120.16	104.70	0.0194	
Univ:  60	115.58	95.90	4.3324	
Univ:  61	107.65	97.47	1.0557	
Univ:  62	114.06	109.50	0.0226	
Univ:  63	101.29	106.42	0.0181	
Univ:  64	105.04	89.39	3.9175	
Univ:  65	96.03	114.97	0.0000	
Univ:  66	102.03	104.73	0.3415	
Univ:  67	104.86	104.41	0.0084	
Univ:  68	100.91	92.93	0.1674	
